SSC-A,F4/80:Fluorescein (FITC),CD11c-biot:Qdot 605,Gr-1:APC,IgD:APC-Cy5.5,CD11b:APC-Cy7,I-Ad:PE,CD5:PE-Cy5,CD19:PE-Cy5.5,IgM:PE-Cy7
0.69145906,0.7973003,0.41760078,0.24453174,0.4062223,0.8374012,0.40984404,0.42675272,0.25340047,0.4831672
0.57724893,0.12207297,0.19196135,0.20985255,0.16091123,0.21323875,0.49212798,0.4786712,0.6617876,0.7337098
0.5389341,0.14683877,0.07736956,0.21354926,0.20268336,0.17372221,0.42104104,0.47201785,0.65493405,0.68702257
0.70383257,0.7544351,0.5006345,0.22041047,0.46358955,0.8481351,0.490541,0.5069643,0.2993269,0.54362875
0.576677,0.102827065,0.11777241,0.21071254,0.13427338,0.17973983,0.47288236,0.46908057,0.68339956,0.7005206
0.6488387,0.29170898,0.553494,0.25051442,0.3460878,0.7043888,0.5818562,0.21927951,0.24247198,0.37015978
0.5179094,0.17737022,0.19868585,0.24236725,0.5057849,0.2722417,0.471973,0.22835666,0.5940464,0.46976712
0.65780604,0.41949445,0.50440055,0.26017216,0.34357232,0.79623777,0.4608928,0.26001805,0.25616965,0.48937255
0.54772997,0.18035358,0.24169812,0.25172725,0.18146978,0.17993617,0.48761427,0.14534314,0.6278112,0.7069789
0.7314218,0.50241446,0.23596384,0.48682734,0.22266394,0.42208257,0.23240899,0.17833799,0.21958958,0.13183673
0.71947455,0.54270756,0.31122583,0.44027117,0.2016055,0.45639557,0.2582703,0.20511149,0.21773155,0.15406308
0.5956379,0.15573844,0.16331412,0.21988837,0.23453076,0.08518758,0.38313454,0.46470436,0.6690989,0.81416416
0.65770346,0.7265248,0.4546016,0.15978251,0.44916305,0.7018315,0.4655339,0.50078815,0.26646373,0.5175499
0.70600265,0.8172391,0.50004,0.23727496,0.43473196,0.8496129,0.4766824,0.45932156,0.24800315,0.4165019
0.50700283,0.112165175,0.15096101,0.05598956,0.14661229,0.19126032,0.15811259,0.6803958,0.1325544,0.17371243
0.61277103,0.22039218,0.50525564,0.28083748,0.25304532,0.7294276,0.5852161,0.16074839,0.23655114,0.38011572
0.7375595,0.5868488,0.27319443,0.31523526,0.21258599,0.5104161,0.25281242,0.16967161,0.24825895,0.15341856
0.672744,0.7976828,0.45207894,0.18370375,0.4512229,0.88122886,0.49820536,0.5333955,0.43276083,0.59147435
0.5180315,0.12061674,0.14430813,0.26222414,0.59043485,0.2493172,0.43718472,0.11020903,0.59159803,0.6684794
0.546225,0.14322765,0.11985432,0.19890942,0.2391766,0.21392809,0.21271057,0.51735073,0.19490035,0.2242694
0.5402116,0.14472091,0.10235231,0.23581953,0.24268846,0.23183383,0.54280084,0.473243,0.6432455,0.7120637
0.62492263,0.30045003,0.5413646,0.27905035,0.33487788,0.7350794,0.60627055,0.092822626,0.27538738,0.41363564
0.72697407,0.5560291,0.37400594,0.3181288,0.2523536,0.5345762,0.28185132,0.22681154,0.21170048,0.23994704
0.59821135,0.13671362,0.20035458,0.25536916,0.21450262,0.2219558,0.13046889,0.1458562,0.22169256,0.17281903
0.5880817,0.16950436,0.21270975,0.23024717,0.15767844,0.29928577,0.42047185,0.43865022,0.67578524,0.84825957
0.7075996,0.79193306,0.49129057,0.21637823,0.5687272,0.77304405,0.44820216,0.46755564,0.4042063,0.5519342
0.6090948,0.18432643,0.13341153,0.18457648,0.17752486,0.14451802,0.46374136,0.49137783,0.65121543,0.85245913
0.5322334,0.13131197,0.09283435,0.26288548,0.22284427,0.23962004,0.12981363,0.10689048,0.23527288,0.16323923
0.52475977,0.11265636,0.12529863,0.2292527,0.24979003,0.21672545,0.51513827,0.36049277,0.60455596,0.4475826
0.6984898,0.5164802,0.31401283,0.2626517,0.22535491,0.53508836,0.27488908,0.22851647,0.23167084,0.05552593
0.6551347,0.7350642,0.44145894,0.26111007,0.48462704,0.86409307,0.41037184,0.41783497,0.27057055,0.46236104
0.49297354,0.14511979,0.16256097,0.24390736,0.21361233,0.23628134,0.14932138,0.14993373,0.22233902,0.17750308
0.70188314,0.80584604,0.52912116,0.14107287,0.45080107,0.79500794,0.5036715,0.5140651,0.30373508,0.49061263
0.48938224,0.1259612,0.17089222,0.26876518,0.21691154,0.2538602,0.15378429,0.12262925,0.21932077,0.1312248
0.716542,0.8035128,0.5404828,0.16222714,0.497025,0.8688352,0.52090317,0.51854306,0.3195022,0.5307492
0.69287527,0.77744466,0.4365497,0.23008312,0.51051843,0.8354939,0.39287558,0.45854086,0.31361926,0.52974653
0.53799003,0.10737029,0.17424524,0.1612442,0.20447618,0.28096932,0.11871443,0.60724777,0.18642475,0.28457642
0.57748246,0.15547544,0.19752528,0.24278913,0.21593767,0.22587323,0.178855,0.22854045,0.19198853,0.1967312
0.63851243,0.16536787,0.21042892,0.2472232,0.2481226,0.2411519,0.19504994,0.20856167,0.23260258,0.1689512
0.7337937,0.8292373,0.56181526,0.15512323,0.5135612,0.8383005,0.53283125,0.5340745,0.23712482,0.51301384
0.50500566,0.15140916,0.33192712,0.2588053,0.22730984,0.22021832,0.12883271,0.11525704,0.21850003,0.24513386
0.51028913,0.18391883,0.13314688,0.26600343,0.52133,0.13889027,0.504913,0.14242,0.5242406,0.7522281
0.69209754,0.7980267,0.46464556,0.25497577,0.48651668,0.86586934,0.45805824,0.49163896,0.2544683,0.503851
0.62417996,0.334139,0.65900385,0.26136726,0.30514145,0.5754021,0.5832865,0.14011289,0.2477844,0.2548874
0.76321644,0.19754595,0.2791255,0.2571843,0.25818846,0.24560918,0.21886218,0.2518947,0.23725867,0.23031883
0.5696956,0.14014511,0.1514019,0.26423222,0.6102977,0.16864017,0.5285892,0.10149735,0.5884111,0.8189284
0.69310975,0.5313096,0.3218999,0.46747482,0.23621331,0.48479247,0.2708572,0.1576416,0.2216907,0.116389774
0.5185198,0.12866807,0.21797508,0.20808508,0.109265216,0.16872667,0.47631955,0.49294445,0.711539,0.70751613
0.500451,0.10795079,0.06869438,0.12519717,0.19963144,0.2087536,0.11752907,0.63227177,0.1919569,0.19451906
0.4871644,0.18565843,0.24031056,0.10416038,0.26581773,0.25268847,0.5318111,0.4980784,0.4948624,0.5076904
0.6995896,0.5377413,0.29140502,0.37126327,0.220025,0.5599695,0.21107553,0.21309939,0.22092248,0.063735336
0.7281068,0.76179683,0.45746058,0.26844886,0.41276923,0.9002972,0.47819737,0.48717448,0.23980498,0.47031254
0.6995896,0.80516565,0.45249608,0.29401204,0.4725681,0.86867803,0.41933057,0.44085994,0.26160482,0.4861788
